"English_name","Scientific_name","X3A_CODE"
NA,"Aborichthys elongatus","ABE"
"Mottled loach","Acanthocobitis botia","BTO"
NA,"Annamia normani","ANO"
NA,"Balitora annamitica","BTA"
"Stone loach","Barbatula barbatula","BTB"
NA,"Barbucca diabolica","BTD"
NA,"Bhavania australis","BHS"
NA,"Crossostoma lacustre","CML"
NA,"Ellopostoma megalomycter","ELL"
NA,"Gastromyzon borneensis","GSB"
NA,"Glaniopsis denudata","GLE"
NA,"Hemimyzon formosanum","HMO"
NA,"Homaloptera bilineata","HOI"
NA,"Homaloptera spp","HQX"
NA,"Hypergastromyzon eubranchus","HYE"
NA,"Indoreonectes evezardi","INE"
NA,"Lefua echigonia","LEH"
NA,"Micronemacheilus cruciatus","MIU"
NA,"Nemacheilus abyssinicus","NEY"
NA,"Nemacheilus denisoni","NMD"
NA,"Neogastromyzon nieuwenhuisii","NEU"
NA,"Neohomaloptera johorensis","NEJ"
NA,"Neonoemacheilus labeosus","NEE"
NA,"Oreonectes anophthalmus","ONO"
NA,"Orthrias panthera","OTP"
NA,"Parhomaloptera microstoma","PAK"
NA,"Physoschistura brunneanus","PHV"
NA,"Protomyzon aphelocheilus","PYH"
NA,"Schistura balteata","SUH"
NA,"Sectoria atriceps","SRC"
NA,"Sewellia lineolata","SWL"
NA,"Sinogastromyzon puliensis","SZL"
NA,"Sphaerophysa dianchiensis","SYD"
NA,"Sundoreonectes tiomanensis","SUI"
NA,"Travancoria jonesi","TVJ"
NA,"Triplophysa choprai","TYC"
NA,"Troglocobitis starostini","TGT"
NA,"Tuberoschistura cambodgiensis","TUA"
NA,"Vaillantella cinnamomea","VAI"
NA,"Yunnanilus altus","YUA"
"Suckers nei","Catostomidae","CTM"
"River carpsucker","Carpiodes carpio","CDO"
"Flannelmouth sucker","Catostomus latipinnis","ATS"
"Largescale sucker","Catostomus macrocheilus","ATU"
"White sucker","Catostomus commersoni","ATO"
"Tahoe sucker","Catostomus tahoensis","ATE"
"Longnose sucker","Catostomus catostomus","ATC"
"Cui-ui","Chasmistes cujus","ATJ"
"Blue sucker","Cycleptus elongatus","YCL"
"Lost River sucker","Deltistes luxatus","DEU"
"Lake chubsucker","Erimyzon sucetta","ERU"
"Northern hog sucker","Hypentelium nigricans","HYN"
"Bigmouth buffalo","Ictiobus cyprinellus","BUB"
"Buffalofishes nei","Ictiobus spp","BUF"
"Harelip sucker","Lagochila lacera","LAL"
"Spotted sucker","Minytrema melanops","MIM"
"Shorthead redhorse","Moxostoma macrolepidotum","MOM"
"Golden redhorse","Moxostoma erythrurum","MOE"
"Gray redhorse","Moxostoma congestum","MOG"
"Chinese sucker","Myxocyprinus asiaticus","MXS"
"Razorback sucker","Xyrauchen texanus","XYT"
NA,"Acanthopsoides delphax","HPD"
"Horseface loach","Acantopsis choirorhynchos","TPC"
"Bengal loach","Botia dario","BOD"
NA,"Botia spp","BWX"
"Clown loach","Chromobotia macracanthus","BMW"
"Golden spined loach","Cobitis aurata","BIA"
NA,"Cobitis biwae","BIW"
NA,"Cobitis granoei","BIO"
NA,"Cobitis maroccana","BIM"
"Spined loach","Cobitis taenia","BIT"
NA,"Enobarbichthys maculatus","ENM"
"Choi's spiny loach","Iksookimia choii","IKC"
"Guntea loach","Lepidocephalichthys guntea","LEG"
NA,"Lepidocephalichthys thermalis","LEI"
NA,"Lepidocephalus annandalei","LED"
NA,"Leptobotia curta","LEU"
"Chinese muddy loach","Misgurnus mizolepis","ZMM"
"Pond loach","Misgurnus anguillicaudatus","KUR"
"Weatherfish","Misgurnus fossilis","MWT"
NA,"Neoeucirrhichthys maydelli","NUM"
NA,"Niwaella delicata","NWD"
NA,"Pangio agma","NAG"
NA,"Paramisgurnus dabryanus","PAD"
NA,"Sabanejewia balcanica","SAK"
NA,"Somileptes gongota","SOG"
"Tiger loach","Syncrossus hymenophysa","BOH"
"Redtail botia","Yasuhikotakia modesta","YHM"
"Cyprinids nei","Cyprinidae","FCY"
NA,"Aaptosyax grypus","AAX"
"Chinese false gudgeon","Abbottina rivularis","ABB"
"Freshwater bream","Abramis brama","FBM"
